strain,replicate,drug,time,microcol,mic
PA14,1,PIT,24h,y,2
PA14,2,PIT,24h,n,1.5
PA14,2,PIT,24h,y,1.5
PA14,3,PIT,24h,n,2
PA14,3,PIT,24h,y,2
PA14,1,COL,24h,n,4
PA14,1,COL,24h,y,4
PA14,2,COL,24h,n,2
PA14,2,COL,24h,y,2
PA14,3,COL,24h,n,3
PA14,3,COL,24h,y,3
PA14,1,AMI,24h,n,3
PA14,1,AMI,24h,y,6
PA14,2,AMI,24h,n,4
PA14,2,AMI,24h,y,4
PA14,3,AMI,24h,n,1.5
PA14,3,AMI,24h,y,1.5
PA14,1,CTZ,24h,n,1
PA14,1,CTZ,24h,y,1.5
PA14,2,CTZ,24h,n,1
PA14,2,CTZ,24h,y,2
PA14,3,CTZ,24h,n,0.38
PA14,3,CTZ,24h,y,1
PA14,3,CTT,24h,n,0.5
PA14,3,CTT,24h,y,0.5
PA14,3,CTT,24h,n,0.75
PA14,3,CTT,24h,y,3
PA14,3,CTT,24h,n,0.38
PA14,3,CTT,24h,y,0.85
PA14,1,CIP,48h,n,0.094
PA14,1,CIP,48h,y,0.19
PA14,2,CIP,48h,n,0.094
PA14,2,CIP,48h,y,0.094
PA14,3,CIP,48h,n,0.125
PA14,3,CIP,48h,y,0.25
PA14,1,GEN,48h,n,0.75
PA14,1,GEN,48h,y,0.75
PA14,2,GEN,48h,n,1
PA14,2,GEN,48h,y,1
PA14,3,GEN,48h,n,0.75
PA14,3,GEN,48h,y,0.75
PA14,1,TOB,48h,n,1.5
PA14,1,TOB,48h,y,1.5
PA14,2,TOB,48h,n,0.75
PA14,2,TOB,48h,y,0.75
PA14,3,TOB,48h,n,0.75
PA14,3,TOB,48h,y,0.75
PA14,1,MER,48h,n,0.016
PA14,1,MER,48h,y,0.016
PA14,2,MER,48h,n,0.023
PA14,2,MER,48h,y,0.023
PA14,3,MER,48h,n,0.023
PA14,3,MER,48h,y,0.023
PA14,1,PIT,48h,n,2
PA14,1,PIT,48h,y,2
PA14,2,PIT,48h,n,1.5
PA14,2,PIT,48h,y,1.5
PA14,3,PIT,48h,n,2
PA14,3,PIT,48h,y,2
PA14,1,COL,48h,n,4
PA14,1,COL,48h,y,4
PA14,2,COL,48h,n,2
PA14,2,COL,48h,y,2
PA14,3,COL,48h,n,3
PA14,3,COL,48h,y,3
PA14,1,AMI,48h,n,3
PA14,1,AMI,48h,y,6
PA14,2,AMI,48h,n,4
PA14,2,AMI,48h,y,4
PA14,3,AMI,48h,n,2
PA14,3,AMI,48h,y,3
PA14,1,CTZ,48h,n,1
PA14,1,CTZ,48h,y,1.5
PA14,2,CTZ,48h,n,1
PA14,2,CTZ,48h,y,2
PA14,3,CTZ,48h,n,0.38
PA14,3,CTZ,48h,y,1
PA14,1,CTT,48h,n,0.5
PA14,1,CTT,48h,y,0.5
PA14,2,CTT,48h,n,0.75
PA14,2,CTT,48h,y,3
PA14,3,CTT,48h,n,0.38
PA14,3,CTT,48h,y,0.85
H01,1,CIP,24h,n,0.75
H01,1,CIP,24h,y,0.75
H01,2,CIP,24h,n,0.75
H01,2,CIP,24h,y,0.75
H01,3,CIP,24h,n,0.75
H01,3,CIP,24h,y,0.75
H01,1,GEN,24h,n,256
H01,1,GEN,24h,y,256
H01,2,GEN,24h,n,256
H01,2,GEN,24h,y,256
H01,3,GEN,24h,n,256
H01,3,GEN,24h,y,256
H01,1,TOB,24h,n,256
H01,1,TOB,24h,y,256
H01,2,TOB,24h,n,256
H01,2,TOB,24h,y,256
H01,3,TOB,24h,n,256
H01,3,TOB,24h,y,192
H01,1,MER,24h,n,0.38
H01,1,MER,24h,y,0.38
H01,2,MER,24h,n,0.125
H01,2,MER,24h,y,0.125
H01,3,MER,24h,n,0.25
H01,3,MER,24h,y,0.25
H01,1,PIT,24h,n,12
H01,1,PIT,24h,y,12
H01,2,PIT,24h,n,12
H01,2,PIT,24h,y,12
H01,3,PIT,24h,n,16
H01,3,PIT,24h,y,16
H01,1,COL,24h,n,1.5
H01,1,COL,24h,y,1.5
H01,2,COL,24h,n,2
H01,2,COL,24h,y,6
H01,3,COL,24h,n,2
H01,3,COL,24h,y,2
H01,1,AMI,24h,n,16
H01,1,AMI,24h,y,32
H01,2,AMI,24h,n,24
H01,2,AMI,24h,y,24
H01,3,AMI,24h,n,48
H01,3,AMI,24h,y,48
H01,1,CTZ,24h,n,6
H01,1,CTZ,24h,y,6
H01,2,CTZ,24h,n,4
H01,2,CTZ,24h,y,4
H01,3,CTZ,24h,n,4
H01,3,CTZ,24h,y,4
H01,1,CTT,24h,n,1
H01,1,CTT,24h,y,1
H01,2,CTT,48h,n,0.75
H01,2,CTT,48h,y,0.75
H01,3,CTT,48h,n,0.75
H01,3,CTT,48h,y,0.75
H01,1,CIP,48h,n,0.75
H01,1,CIP,48h,y,0.75
H01,2,CIP,48h,n,1
H01,2,CIP,48h,y,1
H01,3,CIP,48h,n,0.75
H01,3,CIP,48h,y,0.75
H01,1,GEN,48h,n,256
H01,1,GEN,48h,y,256
H01,2,GEN,48h,n,256
H01,2,GEN,48h,y,256
H01,3,GEN,48h,n,256
H01,3,GEN,48h,y,256
H01,1,TOB,48h,n,256
H01,1,TOB,48h,y,256
H01,2,TOB,48h,n,256
H01,2,TOB,48h,y,256
H01,3,TOB,48h,n,256
H01,3,TOB,48h,y,256
H01,1,MER,48h,n,0.25
H01,1,MER,48h,y,0.25
H01,2,MER,48h,n,0.125
H01,2,MER,48h,y,0.125
H01,3,MER,48h,n,0.25
H01,3,MER,48h,y,0.25
H01,1,PIT,48h,n,12
H01,1,PIT,48h,y,12
H01,2,PIT,48h,n,12
H01,2,PIT,48h,y,12
H01,3,PIT,48h,n,16
H01,3,PIT,48h,y,16
H01,1,COL,48h,n,1.5
H01,1,COL,48h,y,1.5
H01,2,COL,48h,n,2
H01,2,COL,48h,y,6
H01,3,COL,48h,n,2
H01,3,COL,48h,y,2
H01,1,AMI,48h,n,16
H01,1,AMI,48h,y,64
H01,2,AMI,48h,n,24
H01,2,AMI,48h,y,48
H01,3,AMI,48h,n,48
H01,3,AMI,48h,y,48
H01,1,CTZ,48h,n,6
H01,1,CTZ,48h,y,6
H01,2,CTZ,48h,n,4
H01,2,CTZ,48h,y,4
H01,3,CTZ,48h,n,4
H01,3,CTZ,48h,y,4
H01,1,CTT,48h,n,1
H01,1,CTT,48h,y,1
H01,2,CTT,48h,n,0.75
H01,2,CTT,48h,y,0.75
H01,3,CTT,48h,n,0.75
H01,3,CTT,48h,y,0.75
H01,4,CIP,24h,n,0.5
H01,4,CIP,24h,y,0.5
H01,5,CIP,24h,n,0.75
H01,5,CIP,24h,y,0.75
H01,6,CIP,24h,n,0.75
H01,6,CIP,24h,y,0.75
H01,4,GEN,24h,n,256
H01,4,GEN,24h,y,256
H01,5,GEN,24h,n,256
H01,5,GEN,24h,y,256
H01,6,GEN,24h,n,256
H01,6,GEN,24h,y,256
H01,4,TOB,24h,n,256
H01,4,TOB,24h,y,256
H01,5,TOB,24h,n,256
H01,5,TOB,24h,y,256
H01,6,TOB,24h,n,192
H01,6,TOB,24h,y,192
H01,4,MER,24h,n,0.25
H01,4,MER,24h,y,0.25
H01,5,MER,24h,n,0.25
H01,5,MER,24h,y,0.25
H01,6,MER,24h,n,0.25
H01,6,MER,24h,y,0.25
H01,4,PIT,24h,n,6
H01,4,PIT,24h,y,6
H01,5,PIT,24h,n,12
H01,5,PIT,24h,y,12
H01,6,PIT,24h,n,12
H01,6,PIT,24h,y,12
H01,4,CIP,48h,n,0.75
H01,4,CIP,48h,y,0.75
H01,5,CIP,48h,n,0.5
H01,5,CIP,48h,y,0.5
H01,6,CIP,48h,n,0.75
H01,6,CIP,48h,y,0.75
H01,4,GEN,48h,n,256
H01,4,GEN,48h,y,256
H01,5,GEN,48h,n,256
H01,5,GEN,48h,y,256
H01,6,GEN,48h,n,256
H01,6,GEN,48h,y,256
H01,4,TOB,48h,n,256
H01,4,TOB,48h,y,256
H01,5,TOB,48h,n,256
H01,5,TOB,48h,y,256
H01,6,TOB,48h,n,256
H01,6,TOB,48h,y,256
H01,4,MER,48h,n,0.25
H01,4,MER,48h,y,0.25
H01,5,MER,48h,n,0.25
H01,5,MER,48h,y,0.25
H01,6,MER,48h,n,0.25
H01,6,MER,48h,y,0.25
H01,4,PIT,48h,n,6
H01,4,PIT,48h,y,6
H01,5,PIT,48h,n,12
H01,5,PIT,48h,y,12
H01,6,PIT,48h,n,12
H01,6,PIT,48h,y,12
H02,1,CIP,24h,n,0.19
H02,1,CIP,24h,y,0.19
H02,2,CIP,24h,n,0.19
H02,2,CIP,24h,y,0.19
H02,3,CIP,24h,n,0.25
H02,3,CIP,24h,y,0.25
H02,1,GEN,24h,n,1
H02,1,GEN,24h,y,1.5
H02,2,GEN,24h,n,2
H02,2,GEN,24h,y,2
H02,3,GEN,24h,n,1.5
H02,3,GEN,24h,y,1.5
H02,1,TOB,24h,n,1.5
H02,1,TOB,24h,y,1.5
H02,2,TOB,24h,n,1
H02,2,TOB,24h,y,1
H02,3,TOB,24h,n,1.5
H02,3,TOB,24h,y,1
H02,1,MER,24h,n,0.047
H02,1,MER,24h,y,0.125
H02,2,MER,24h,n,0.047
H02,2,MER,24h,y,0.094
H02,3,MER,24h,n,0.047
H02,3,MER,24h,y,0.094
H02,1,PIT,24h,n,8
H02,1,PIT,24h,y,12
H02,2,PIT,24h,n,8
H02,2,PIT,24h,y,8
H02,3,PIT,24h,n,8
H02,3,PIT,24h,y,8
H02,1,COL,24h,n,4
H02,1,COL,24h,y,4
H02,2,COL,24h,n,6
H02,2,COL,24h,y,6
H02,3,COL,24h,n,4
H02,3,COL,24h,y,4
H02,1,AMI,24h,n,6
H02,1,AMI,24h,y,6
H02,2,AMI,24h,n,6
H02,2,AMI,24h,y,6
H02,3,AMI,24h,n,8
H02,3,AMI,24h,y,8
H02,1,CTZ,24h,n,2
H02,1,CTZ,24h,y,3
H02,2,CTZ,24h,n,3
H02,2,CTZ,24h,y,4
H02,3,CTZ,24h,n,2
H02,3,CTZ,24h,y,3
H02,1,CTT,24h,n,0.5
H02,1,CTT,24h,y,0.5
H02,2,CTT,24h,n,0.5
H02,2,CTT,24h,y,0.75
H02,3,CTT,24h,n,0.5
H02,3,CTT,24h,y,0.75
H02,1,CIP,48h,n,0.19
H02,1,CIP,48h,y,0.19
H02,2,CIP,48h,n,0.19
H02,2,CIP,48h,y,0.19
H02,3,CIP,48h,n,0.25
H02,3,CIP,48h,y,0.25
H02,1,GEN,48h,n,1
H02,1,GEN,48h,y,1
H02,2,GEN,48h,n,2
H02,2,GEN,48h,y,2
H02,3,GEN,48h,n,1.5
H02,3,GEN,48h,y,1.5
H02,1,TOB,48h,n,1.5
H02,1,TOB,48h,y,1.5
H02,2,TOB,48h,n,1
H02,2,TOB,48h,y,1
H02,3,TOB,48h,n,1.5
H02,3,TOB,48h,y,1.5
H02,1,MER,48h,n,0.047
H02,1,MER,48h,y,0.125
H02,2,MER,48h,n,0.047
H02,2,MER,48h,y,0.094
H02,3,MER,48h,n,0.047
H02,3,MER,48h,y,0.094
H02,1,PIT,48h,n,8
H02,1,PIT,48h,y,12
H02,2,PIT,48h,n,8
H02,2,PIT,48h,y,8
H02,3,PIT,48h,n,8
H02,3,PIT,48h,y,8
H02,1,COL,48h,n,4
H02,1,COL,48h,y,12
H02,2,COL,48h,n,6
H02,2,COL,48h,y,6
H02,3,COL,48h,n,4
H02,3,COL,48h,y,4
H02,1,AMI,48h,n,6
H02,1,AMI,48h,y,6
H02,2,AMI,48h,n,6
H02,2,AMI,48h,y,6
H02,3,AMI,48h,n,8
H02,3,AMI,48h,y,8
H02,1,CTZ,48h,n,2
H02,1,CTZ,48h,y,3
H02,2,CTZ,48h,n,3
H02,2,CTZ,48h,y,4
H02,3,CTZ,48h,n,2
H02,3,CTZ,48h,y,3
H02,1,CTT,48h,n,0.5
H02,1,CTT,48h,y,0.5
H02,2,CTT,48h,n,0.5
H02,2,CTT,48h,y,0.75
H02,3,CTT,48h,n,0.5
H02,3,CTT,48h,y,0.75
H03,1,CIP,24h,n,32
H03,1,CIP,24h,y,32
H03,2,CIP,24h,n,32
H03,2,CIP,24h,y,32
H03,3,CIP,24h,n,32
H03,3,CIP,24h,y,32
H03,1,GEN,24h,n,64
H03,1,GEN,24h,y,64
H03,2,GEN,24h,n,32
H03,2,GEN,24h,y,256
H03,3,GEN,24h,n,64
H03,3,GEN,24h,y,256
H03,1,TOB,24h,n,64
H03,1,TOB,24h,y,64
H03,2,TOB,24h,n,48
H03,2,TOB,24h,y,96
H03,3,TOB,24h,n,64
H03,3,TOB,24h,y,64
H03,1,MER,24h,n,0.094
H03,1,MER,24h,y,0.094
H03,2,MER,24h,n,0.125
H03,2,MER,24h,y,0.125
H03,3,MER,24h,n,0.19
H03,3,MER,24h,y,0.5
H03,1,PIT,24h,n,12
H03,1,PIT,24h,y,12
H03,2,PIT,24h,n,12
H03,2,PIT,24h,y,12
H03,3,PIT,24h,n,12
H03,3,PIT,24h,y,12
H03,1,COL,24h,n,2
H03,1,COL,24h,y,2
H03,2,COL,24h,n,2
H03,2,COL,24h,y,2
H03,3,COL,24h,n,2
H03,3,COL,24h,y,2
H03,1,AMI,24h,n,24
H03,1,AMI,24h,y,64
H03,2,AMI,24h,n,24
H03,2,AMI,24h,y,48
H03,3,AMI,24h,n,32
H03,3,AMI,24h,y,48
H03,1,CTZ,24h,n,6
H03,1,CTZ,24h,y,8
H03,2,CTZ,24h,n,3
H03,2,CTZ,24h,y,3
H03,3,CTZ,24h,n,12
H03,3,CTZ,24h,y,12
H03,1,CTT,24h,n,0.38
H03,1,CTT,24h,y,0.38
H03,2,CTT,24h,n,0.25
H03,2,CTT,24h,y,0.25
H03,3,CTT,24h,n,0.5
H03,3,CTT,24h,y,0.5
H03,1,CIP,48h,n,32
H03,1,CIP,48h,y,32
H03,2,CIP,48h,n,32
H03,2,CIP,48h,y,32
H03,3,CIP,48h,n,32
H03,3,CIP,48h,y,32
H03,1,GEN,48h,n,32
H03,1,GEN,48h,y,256
H03,2,GEN,48h,n,64
H03,2,GEN,48h,y,64
H03,3,GEN,48h,n,64
H03,3,GEN,48h,y,256
H03,1,TOB,48h,n,32
H03,1,TOB,48h,y,96
H03,2,TOB,48h,n,64
H03,2,TOB,48h,y,64
H03,3,TOB,48h,n,64
H03,3,TOB,48h,y,64
H03,1,MER,48h,n,0.094
H03,1,MER,48h,y,0.19
H03,2,MER,48h,n,0.125
H03,2,MER,48h,y,0.19
H03,3,MER,48h,n,0.19
H03,3,MER,48h,y,0.5
H03,1,PIT,48h,n,12
H03,1,PIT,48h,y,24
H03,2,PIT,48h,n,12
H03,2,PIT,48h,y,24
H03,3,PIT,48h,n,12
H03,3,PIT,48h,y,12
H03,1,COL,48h,n,2
H03,1,COL,48h,y,2
H03,2,COL,48h,n,2
H03,2,COL,48h,y,2
H03,3,COL,48h,n,2
H03,3,COL,48h,y,2
H03,1,AMI,48h,n,24
H03,1,AMI,48h,y,64
H03,2,AMI,48h,n,24
H03,2,AMI,48h,y,48
H03,3,AMI,48h,n,32
H03,3,AMI,48h,y,48
H03,1,CTZ,48h,n,6
H03,1,CTZ,48h,y,8
H03,2,CTZ,48h,n,3
H03,2,CTZ,48h,y,3
H03,3,CTZ,48h,n,12
H03,3,CTZ,48h,y,16
H03,1,CTT,48h,n,0.38
H03,1,CTT,48h,y,0.38
H03,2,CTT,48h,n,0.25
H03,2,CTT,48h,y,0.38
H03,3,CTT,48h,n,0.5
H03,3,CTT,48h,y,1
H04,1,CIP,24h,n,0.032
H04,1,CIP,24h,y,0.064
H04,2,CIP,24h,n,0.047
H04,2,CIP,24h,y,0.125
H04,3,CIP,24h,n,0.064
H04,3,CIP,24h,y,0.125
H04,1,GEN,24h,n,1
H04,1,GEN,24h,y,1
H04,2,GEN,24h,n,1
H04,2,GEN,24h,y,1
H04,3,GEN,24h,n,1
H04,3,GEN,24h,y,1
H04,1,TOB,24h,n,0.75
H04,1,TOB,24h,y,0.75
H04,2,TOB,24h,n,1
H04,2,TOB,24h,y,1
H04,3,TOB,24h,n,0.75
H04,3,TOB,24h,y,0.75
H04,1,MER,24h,n,0.023
H04,1,MER,24h,y,0.023
H04,2,MER,24h,n,0.023
H04,2,MER,24h,y,0.023
H04,3,MER,24h,n,0.023
H04,3,MER,24h,y,0.023
H04,1,PIT,24h,n,1.5
H04,1,PIT,24h,y,1.5
H04,2,PIT,24h,n,2
H04,2,PIT,24h,y,2
H04,3,PIT,24h,n,2
H04,3,PIT,24h,y,2
H04,1,COL,24h,n,3
H04,1,COL,24h,y,3
H04,2,COL,24h,n,3
H04,2,COL,24h,y,3
H04,3,COL,24h,n,3
H04,3,COL,24h,y,3
H04,1,AMI,24h,n,6
H04,1,AMI,24h,y,6
H04,2,AMI,24h,n,8
H04,2,AMI,24h,y,8
H04,3,AMI,24h,n,8
H04,3,AMI,24h,y,24
H04,1,CTZ,24h,n,1.5
H04,1,CTZ,24h,y,2
H04,2,CTZ,24h,n,1
H04,2,CTZ,24h,y,2
H04,3,CTZ,24h,n,1.5
H04,3,CTZ,24h,y,2
H04,1,CTT,24h,n,0.5
H04,1,CTT,24h,y,0.75
H04,2,CTT,24h,n,0.5
H04,2,CTT,24h,y,0.5
H04,3,CTT,24h,n,0.38
H04,3,CTT,24h,y,0.38
H04,1,CIP,48h,n,0.032
H04,1,CIP,48h,y,0.064
H04,2,CIP,48h,n,0.047
H04,2,CIP,48h,y,0.125
H04,3,CIP,48h,n,0.064
H04,3,CIP,48h,y,0.064
H04,1,GEN,48h,n,1
H04,1,GEN,48h,y,1
H04,2,GEN,48h,n,1
H04,2,GEN,48h,y,1
H04,3,GEN,48h,n,1
H04,3,GEN,48h,y,1
H04,1,TOB,48h,n,0.75
H04,1,TOB,48h,y,0.75
H04,2,TOB,48h,n,1
H04,2,TOB,48h,y,1
H04,3,TOB,48h,n,0.75
H04,3,TOB,48h,y,0.75
H04,1,MER,48h,n,0.023
H04,1,MER,48h,y,0.023
H04,2,MER,48h,n,0.032
H04,2,MER,48h,y,0.032
H04,3,MER,48h,n,0.032
H04,3,MER,48h,y,0.032
H04,1,PIT,48h,n,2
H04,1,PIT,48h,y,2
H04,2,PIT,48h,n,2
H04,2,PIT,48h,y,2
H04,3,PIT,48h,n,2
H04,3,PIT,48h,y,2
H04,1,COL,48h,n,3
H04,1,COL,48h,y,3
H04,2,COL,48h,n,3
H04,2,COL,48h,y,3
H04,3,COL,48h,n,3
H04,3,COL,48h,y,3
H04,1,AMI,48h,n,6
H04,1,AMI,48h,y,6
H04,2,AMI,48h,n,8
H04,2,AMI,48h,y,8
H04,3,AMI,48h,n,8
H04,3,AMI,48h,y,24
H04,1,CTZ,48h,n,1.5
H04,1,CTZ,48h,y,2
H04,2,CTZ,48h,n,1
H04,2,CTZ,48h,y,2
H04,3,CTZ,48h,n,1.5
H04,3,CTZ,48h,y,2
H04,1,CTT,48h,n,0.5
H04,1,CTT,48h,y,0.75
H04,2,CTT,48h,n,0.5
H04,2,CTT,48h,y,0.5
H04,3,CTT,48h,n,0.38
H04,3,CTT,48h,y,0.5
H05,1,CIP,24h,n,0.125
H05,1,CIP,24h,y,0.125
H05,2,CIP,24h,n,0.094
H05,2,CIP,24h,y,0.094
H05,3,CIP,24h,n,0.125
H05,3,CIP,24h,y,0.125
H05,1,GEN,24h,n,2
H05,1,GEN,24h,y,2
H05,2,GEN,24h,n,1
H05,2,GEN,24h,y,1
H05,3,GEN,24h,n,1.5
H05,3,GEN,24h,y,1.5
H05,1,TOB,24h,n,1.5
H05,1,TOB,24h,y,1.5
H05,2,TOB,24h,n,1.5
H05,2,TOB,24h,y,1.5
H05,3,TOB,24h,n,2
H05,3,TOB,24h,y,2
H05,1,MER,24h,n,0.064
H05,1,MER,24h,y,0.094
H05,2,MER,24h,n,0.064
H05,2,MER,24h,y,0.094
H05,3,MER,24h,n,0.023
H05,3,MER,24h,y,0.047
H05,1,PIT,24h,n,8
H05,1,PIT,24h,y,8
H05,2,PIT,24h,n,3
H05,2,PIT,24h,y,3
H05,3,PIT,24h,n,8
H05,3,PIT,24h,y,8
H05,1,COL,24h,n,3
H05,1,COL,24h,y,4
H05,2,COL,24h,n,3
H05,2,COL,24h,y,6
H05,3,COL,24h,n,3
H05,3,COL,24h,y,8
H05,1,AMI,24h,n,6
H05,1,AMI,24h,y,6
H05,2,AMI,24h,n,8
H05,2,AMI,24h,y,8
H05,3,AMI,24h,n,6
H05,3,AMI,24h,y,12
H05,1,CTZ,24h,n,1.5
H05,1,CTZ,24h,y,1.5
H05,2,CTZ,24h,n,2
H05,2,CTZ,24h,y,3
H05,3,CTZ,24h,n,2
H05,3,CTZ,24h,y,2
H05,1,CTT,24h,n,0.25
H05,1,CTT,24h,y,0.38
H05,2,CTT,24h,n,0.38
H05,2,CTT,24h,y,0.38
H05,3,CTT,24h,n,0.38
H05,3,CTT,24h,y,0.5
H05,1,CIP,48h,n,0.125
H05,1,CIP,48h,y,0.125
H05,2,CIP,48h,n,0.094
H05,2,CIP,48h,y,0.094
H05,3,CIP,48h,n,0.125
H05,3,CIP,48h,y,0.19
H05,1,GEN,48h,n,2
H05,1,GEN,48h,y,2
H05,2,GEN,48h,n,1
H05,2,GEN,48h,y,1
H05,3,GEN,48h,n,1.5
