strain,replicate,time,od
H04,1,15,0.009
H04,1,30,0.008
H04,1,45,0.012
H04,1,60,0.018
H04,1,75,0.026
H04,1,90,0.029
H04,1,105,0.031
H04,1,120,0.036
H04,1,135,0.039
H04,1,150,0.042
H04,1,165,0.046
H04,1,180,0.061
H04,1,195,0.069
H04,1,210,0.089
H04,1,225,0.116
H04,1,240,0.133
H04,1,255,0.148
H04,1,270,0.178
H04,1,285,0.192
H04,1,300,0.202
H04,1,315,0.212
H04,1,330,0.223
H04,1,345,0.232
H04,1,360,0.238
H04,1,375,0.241
H04,1,390,0.245
H04,1,405,0.248
H04,1,420,0.25
H04,1,435,0.252
H04,1,450,0.253
H04,1,465,0.255
H04,1,480,0.254
H04,1,495,0.254
H04,1,510,0.256
H04,1,525,0.254
H04,1,540,0.253
H04,1,555,0.253
H04,1,570,0.253
H04,1,585,0.253
H04,1,600,0.252
H04,1,615,0.25
H04,1,630,0.251
H04,1,645,0.249
H04,1,660,0.246
H04,1,675,0.244
H04,1,690,0.244
H04,1,705,0.242
H04,1,720,0.241
H04,1,735,0.241
H04,1,750,0.24
H04,1,765,0.239
H04,1,780,0.239
H04,1,795,0.238
H04,1,810,0.237
H04,1,825,0.234
H04,1,840,0.233
H04,1,855,0.24
H04,1,870,0.233
H04,1,885,0.236
H04,1,900,0.234
H04,1,915,0.236
H04,1,930,0.235
H04,1,945,0.235
H04,1,960,0.234
H04,1,975,0.234
H04,1,990,0.235
H04,1,1005,0.234
H04,1,1020,0.235
H04,1,1035,0.235
H04,1,1050,0.236
H04,1,1065,0.235
H04,1,1080,0.235
H04,1,1095,0.235
H04,1,1110,0.234
H04,1,1125,0.233
H04,1,1140,0.234
H04,1,1155,0.234
H05,1,15,0.003
H05,1,30,0.002
H05,1,45,0.003
H05,1,60,0.005
H05,1,75,0.006
H05,1,90,0.008
H05,1,105,0.01
H05,1,120,0.014
H05,1,135,0.019
H05,1,150,0.027
H05,1,165,0.035
H05,1,180,0.048
H05,1,195,0.061
H05,1,210,0.074
H05,1,225,0.093
H05,1,240,0.111
H05,1,255,0.135
H05,1,270,0.172
H05,1,285,0.189
H05,1,300,0.198
H05,1,315,0.209
H05,1,330,0.222
H05,1,345,0.236
H05,1,360,0.249
H05,1,375,0.267
H05,1,390,0.291
H05,1,405,0.299
H05,1,420,0.308
H05,1,435,0.312
H05,1,450,0.32
H05,1,465,0.331
H05,1,480,0.334
H05,1,495,0.337
H05,1,510,0.344
H05,1,525,0.342
H05,1,540,0.333
H05,1,555,0.332
H05,1,570,0.328
H05,1,585,0.323
H05,1,600,0.319
H05,1,615,0.316
H05,1,630,0.312
H05,1,645,0.31
H05,1,660,0.307
H05,1,675,0.305
H05,1,690,0.302
H05,1,705,0.301
H05,1,720,0.299
H05,1,735,0.297
H05,1,750,0.295
H05,1,765,0.294
H05,1,780,0.293
H05,1,795,0.291
H05,1,810,0.29
H05,1,825,0.29
H05,1,840,0.288
H05,1,855,0.286
H05,1,870,0.285
H05,1,885,0.284
H05,1,900,0.283
H05,1,915,0.281
H05,1,930,0.28
H05,1,945,0.279
H05,1,960,0.278
H05,1,975,0.277
H05,1,990,0.277
H05,1,1005,0.28
H05,1,1020,0.274
H05,1,1035,0.273
H05,1,1050,0.272
H05,1,1065,0.272
H05,1,1080,0.271
H05,1,1095,0.27
H05,1,1110,0.269
H05,1,1125,0.269
H05,1,1140,0.268
H05,1,1155,0.267
H04,2,15,0.001
H04,2,30,0.001
H04,2,45,0.001
H04,2,60,0.001
H04,2,75,0.001
H04,2,90,0.001
H04,2,105,0.003
H04,2,120,0.006
H04,2,135,0.011
H04,2,150,0.018
H04,2,165,0.027
H04,2,180,0.041
H04,2,195,0.054
H04,2,210,0.07
H04,2,225,0.092
H04,2,240,0.114
H04,2,255,0.143
H04,2,270,0.176
H04,2,285,0.187
H04,2,300,0.203
H04,2,315,0.215
H04,2,330,0.224
H04,2,345,0.238
H04,2,360,0.245
H04,2,375,0.252
H04,2,390,0.261
H04,2,405,0.269
H04,2,420,0.276
H04,2,435,0.281
H04,2,450,0.287
H04,2,465,0.292
H04,2,480,0.292
H04,2,495,0.3
H04,2,510,0.294
H04,2,525,0.294
H04,2,540,0.285
H04,2,555,0.289
H04,2,570,0.287
H04,2,585,0.284
H04,2,600,0.283
H04,2,615,0.284
H04,2,630,0.281
H04,2,645,0.282
H04,2,660,0.281
H04,2,675,0.278
H04,2,690,0.28
H04,2,705,0.278
H04,2,720,0.276
H04,2,735,0.277
H04,2,750,0.276
H04,2,765,0.275
H04,2,780,0.275
H04,2,795,0.273
H04,2,810,0.272
H04,2,825,0.271
H04,2,840,0.271
H04,2,855,0.274
H04,2,870,0.27
H04,2,885,0.27
H04,2,900,0.268
H04,2,915,0.267
H04,2,930,0.266
H04,2,945,0.269
H04,2,960,0.265
H04,2,975,0.265
H04,2,990,0.264
H04,2,1005,0.264
H04,2,1020,0.264
H04,2,1035,0.264
H04,2,1050,0.264
H04,2,1065,0.265
H04,2,1080,0.269
H04,2,1095,0.269
H04,2,1110,0.267
H04,2,1125,0.266
H04,2,1140,0.265
H04,2,1155,0.266
H10,1,15,0.004
H10,1,30,0.004
H10,1,45,0.006
H10,1,60,0.006
H10,1,75,0.008
H10,1,90,0.01
H10,1,105,0.014
H10,1,120,0.021
H10,1,135,0.03
H10,1,150,0.039
H10,1,165,0.052
H10,1,180,0.071
H10,1,195,0.093
H10,1,210,0.11
H10,1,225,0.121
H10,1,240,0.132
H10,1,255,0.139
H10,1,270,0.157
H10,1,285,0.162
H10,1,300,0.165
H10,1,315,0.152
H10,1,330,0.159
H10,1,345,0.288
H10,1,360,0.288
H10,1,375,0.354
H10,1,390,0.335
H10,1,405,0.252
H10,1,420,0.356
H10,1,435,0.354
H10,1,450,0.469
H10,1,465,0.377
H10,1,480,0.384
H10,1,495,0.383
H10,1,510,0.376
H10,1,525,0.43
H10,1,540,0.37
H10,1,555,0.366
H10,1,570,0.366
H10,1,585,0.397
H10,1,600,0.454
H10,1,615,0.352
H10,1,630,0.352
H10,1,645,0.347
H10,1,660,0.349
H10,1,675,0.341
H10,1,690,0.45
H10,1,705,0.346
H10,1,720,0.434
H10,1,735,0.333
H10,1,750,0.331
H10,1,765,0.328
H10,1,780,0.326
H10,1,795,0.327
H10,1,810,0.323
H10,1,825,0.321
H10,1,840,0.319
H10,1,855,0.331
H10,1,870,0.317
H10,1,885,0.321
H10,1,900,0.314
H10,1,915,0.314
H10,1,930,0.311
H10,1,945,0.314
H10,1,960,0.308
H10,1,975,0.307
H10,1,990,0.307
H10,1,1005,0.31
H10,1,1020,0.307
H10,1,1035,0.307
H10,1,1050,0.301
H10,1,1065,0.304
H10,1,1080,0.299
H10,1,1095,0.298
H10,1,1110,0.296
H10,1,1125,0.299
H10,1,1140,0.295
H10,1,1155,0.293
PA14,1,15,0.006
PA14,1,30,0.009
PA14,1,45,0.009
PA14,1,60,0.006
PA14,1,75,0.006
PA14,1,90,0.009
PA14,1,105,0.012
PA14,1,120,0.016
PA14,1,135,0.022
PA14,1,150,0.03
PA14,1,165,0.04
PA14,1,180,0.049
PA14,1,195,0.062
PA14,1,210,0.081
PA14,1,225,0.099
PA14,1,240,0.123
PA14,1,255,0.145
PA14,1,270,0.169
PA14,1,285,0.185
PA14,1,300,0.2
PA14,1,315,0.204
PA14,1,330,0.208
PA14,1,345,0.214
PA14,1,360,0.226
PA14,1,375,0.218
PA14,1,390,0.221
PA14,1,405,0.23
PA14,1,420,0.238
PA14,1,435,0.246
PA14,1,450,0.253
PA14,1,465,0.259
PA14,1,480,0.265
PA14,1,495,0.27
PA14,1,510,0.275
PA14,1,525,0.279
PA14,1,540,0.274
PA14,1,555,0.292
PA14,1,570,0.294
PA14,1,585,0.292
PA14,1,600,0.291
PA14,1,615,0.289
PA14,1,630,0.286
PA14,1,645,0.287
PA14,1,660,0.278
PA14,1,675,0.275
PA14,1,690,0.272
PA14,1,705,0.269
PA14,1,720,0.267
PA14,1,735,0.265
PA14,1,750,0.263
PA14,1,765,0.262
PA14,1,780,0.26
PA14,1,795,0.259
PA14,1,810,0.258
PA14,1,825,0.257
PA14,1,840,0.257
PA14,1,855,0.257
PA14,1,870,0.255
PA14,1,885,0.256
PA14,1,900,0.254
PA14,1,915,0.254
PA14,1,930,0.254
PA14,1,945,0.253
PA14,1,960,0.253
PA14,1,975,0.252
PA14,1,990,0.251
PA14,1,1005,0.252
PA14,1,1020,0.251
PA14,1,1035,0.25
PA14,1,1050,0.25
PA14,1,1065,0.249
PA14,1,1080,0.249
PA14,1,1095,0.248
PA14,1,1110,0.248
PA14,1,1125,0.247
PA14,1,1140,0.249
PA14,1,1155,0.247
H02,1,15,0.003
H02,1,30,0.003
H02,1,45,0.004
H02,1,60,0.005
H02,1,75,0.004
H02,1,90,0.009
H02,1,105,0.012
H02,1,120,0.016
H02,1,135,0.024
H02,1,150,0.032
H02,1,165,0.044
H02,1,180,0.06
H02,1,195,0.074
H02,1,210,0.087
H02,1,225,0.105
H02,1,240,0.128
H02,1,255,0.172
H02,1,270,0.191
H02,1,285,0.209
H02,1,300,0.222
H02,1,315,0.236
H02,1,330,0.25
H02,1,345,0.262
H02,1,360,0.273
H02,1,375,0.286
H02,1,390,0.295
H02,1,405,0.308
H02,1,420,0.311
H02,1,435,0.329
H02,1,450,0.326
H02,1,465,0.334
H02,1,480,0.339
H02,1,495,0.346
H02,1,510,0.349
H02,1,525,0.346
H02,1,540,0.338
H02,1,555,0.339
H02,1,570,0.336
H02,1,585,0.337
H02,1,600,0.331
H02,1,615,0.326
H02,1,630,0.322
H02,1,645,0.317
H02,1,660,0.314
H02,1,675,0.31
H02,1,690,0.307
H02,1,705,0.304
H02,1,720,0.301
H02,1,735,0.298
H02,1,750,0.296
H02,1,765,0.294
H02,1,780,0.293
H02,1,795,0.29
H02,1,810,0.289
H02,1,825,0.287
H02,1,840,0.285
H02,1,855,0.285
H02,1,870,0.282
H02,1,885,0.28
H02,1,900,0.279
H02,1,915,0.277
H02,1,930,0.275
H02,1,945,0.275
H02,1,960,0.273
H02,1,975,0.273
H02,1,990,0.273
H02,1,1005,0.27
H02,1,1020,0.269
H02,1,1035,0.268
H02,1,1050,0.27
H02,1,1065,0.268
H02,1,1080,0.268
H02,1,1095,0.265
H02,1,1110,0.265
H02,1,1125,0.264
H02,1,1140,0.263
H02,1,1155,0.263
H07,1,15,0.008
H07,1,30,0.008
H07,1,45,0.01
H07,1,60,0.012
H07,1,75,0.016
H07,1,90,0.022
H07,1,105,0.031
H07,1,120,0.044
H07,1,135,0.061
H07,1,150,0.087
H07,1,165,0.105
H07,1,180,0.123
H07,1,195,0.142
H07,1,210,0.161
H07,1,225,0.175
H07,1,240,0.209
H07,1,255,0.229
H07,1,270,0.249
H07,1,285,0.275
H07,1,300,0.297
H07,1,315,0.319
H07,1,330,0.328
H07,1,345,0.33
H07,1,360,0.325
H07,1,375,0.317
H07,1,390,0.314
H07,1,405,0.311
H07,1,420,0.317
H07,1,435,0.312
H07,1,450,0.304
H07,1,465,0.305
H07,1,480,0.306
H07,1,495,0.305
H07,1,510,0.306
H07,1,525,0.31
H07,1,540,0.306
H07,1,555,0.305
H07,1,570,0.305
H07,1,585,0.306
H07,1,600,0.303
H07,1,615,0.303
H07,1,630,0.302
H07,1,645,0.302
H07,1,660,0.301
H07,1,675,0.3
H07,1,690,0.3
H07,1,705,0.3
H07,1,720,0.299
H07,1,735,0.299
H07,1,750,0.298
H07,1,765,0.298
H07,1,780,0.298
H07,1,795,0.297
H07,1,810,0.297
H07,1,825,0.296
H07,1,840,0.302
H07,1,855,0.298
H07,1,870,0.299
H07,1,885,0.295
H07,1,900,0.294
H07,1,915,0.33
H07,1,930,0.293
H07,1,945,0.295
H07,1,960,0.293
H07,1,975,0.293
H07,1,990,0.292
H07,1,1005,0.291
H07,1,1020,0.29
H07,1,1035,0.291
H07,1,1050,0.29
H07,1,1065,0.291
H07,1,1080,0.292
H07,1,1095,0.29
H07,1,1110,0.29
H07,1,1125,0.29
H07,1,1140,0.291
H07,1,1155,0.327
H09,1,15,0.015
H09,1,30,0.013
H09,1,45,0.016
H09,1,60,0.019
H09,1,75,0.026
H09,1,90,0.033
H09,1,105,0.044
H09,1,120,0.061
H09,1,135,0.081
H09,1,150,0.095
H09,1,165,0.114
H09,1,180,0.132
H09,1,195,0.156
H09,1,210,0.175
H09,1,225,0.205
H09,1,240,0.226
H09,1,255,0.242
H09,1,270,0.254
H09,1,285,0.268
H09,1,300,0.282
H09,1,315,0.291
H09,1,330,0.3
H09,1,345,0.31
H09,1,360,0.313
H09,1,375,0.315
H09,1,390,0.317
H09,1,405,0.317
H09,1,420,0.318
H09,1,435,0.319
H09,1,450,0.319
H09,1,465,0.316
H09,1,480,0.318
H09,1,495,0.315
H09,1,510,0.315
H09,1,525,0.314
H09,1,540,0.309
H09,1,555,0.31
H09,1,570,0.309
H09,1,585,0.309
H09,1,600,0.307
H09,1,615,0.306
H09,1,630,0.305
H09,1,645,0.304
H09,1,660,0.303
H09,1,675,0.302
H09,1,690,0.301
H09,1,705,0.3
H09,1,720,0.3
H09,1,735,0.298
H09,1,750,0.298
H09,1,765,0.297
H09,1,780,0.297
H09,1,795,0.296
H09,1,810,0.295
H09,1,825,0.294
H09,1,840,0.294
H09,1,855,0.296
H09,1,870,0.293
H09,1,885,0.292
H09,1,900,0.291
H09,1,915,0.291
H09,1,930,0.29
H09,1,945,0.29
H09,1,960,0.289
H09,1,975,0.29
H09,1,990,0.289
H09,1,1005,0.288
H09,1,1020,0.288
H09,1,1035,0.288
H09,1,1050,0.288
H09,1,1065,0.287
H09,1,1080,0.287
H09,1,1095,0.287
H09,1,1110,0.288
H09,1,1125,0.287
H09,1,1140,0.287
H09,1,1155,0.286
H03,1,15,0.001
H03,1,30,0.001
H03,1,45,0.001
H03,1,60,0.001
H03,1,75,0.002
H03,1,90,0.002
H03,1,105,0.003
H03,1,120,0.006
H03,1,135,0.007
H03,1,150,0.011
H03,1,165,0.017
H03,1,180,0.024
H03,1,195,0.033
H03,1,210,0.041
H03,1,225,0.048
H03,1,240,0.053
H03,1,255,0.057
H03,1,270,0.062
H03,1,285,0.065
H03,1,300,0.076
H03,1,315,0.083
H03,1,330,0.088
H03,1,345,0.099
H03,1,360,0.104
H03,1,375,0.111
H03,1,390,0.118
H03,1,405,0.118
H03,1,420,0.12
H03,1,435,0.12
H03,1,450,0.123
H03,1,465,0.113
H03,1,480,0.117
H03,1,495,0.124
H03,1,510,0.12
H03,1,525,0.115
H03,1,540,0.115
H03,1,555,0.108
H03,1,570,0.111
H03,1,585,0.109
H03,1,600,0.103
H03,1,615,0.105
H03,1,630,0.109
H03,1,645,0.111
H03,1,660,0.156
H03,1,675,0.171
H03,1,690,0.177
H03,1,705,0.181
H03,1,720,0.186
H03,1,735,0.19
H03,1,750,0.2
H03,1,765,0.204
H03,1,780,0.207
H03,1,795,0.207
H03,1,810,0.209
H03,1,825,0.213
H03,1,840,0.216
H03,1,855,0.215
H03,1,870,0.216
H03,1,885,0.219
H03,1,900,0.219
H03,1,915,0.22
H03,1,930,0.222
H03,1,945,0.221
H03,1,960,0.222
H03,1,975,0.223
H03,1,990,0.223
H03,1,1005,0.223
H03,1,1020,0.223
H03,1,1035,0.223
H03,1,1050,0.223
H03,1,1065,0.223
H03,1,1080,0.223
H03,1,1095,0.223
H03,1,1110,0.222
H03,1,1125,0.222
H03,1,1140,0.222
H03,1,1155,0.222
H06,1,15,0.002
H06,1,30,0.001
H06,1,45,0.001
H06,1,60,0.001
H06,1,75,0.002
H06,1,90,0.003
H06,1,105,0.004
H06,1,120,0.005
H06,1,135,0.006
H06,1,150,0.01
H06,1,165,0.014
H06,1,180,0.02
H06,1,195,0.027
H06,1,210,0.036
H06,1,225,0.044
H06,1,240,0.056
H06,1,255,0.075
H06,1,270,0.1
H06,1,285,0.13
H06,1,300,0.14
H06,1,315,0.16
H06,1,330,0.175
H06,1,345,0.189
H06,1,360,0.203
H06,1,375,0.212
H06,1,390,0.22
H06,1,405,0.228
H06,1,420,0.234
H06,1,435,0.24
H06,1,450,0.243
H06,1,465,0.244
H06,1,480,0.247
H06,1,495,0.248
H06,1,510,0.249
H06,1,525,0.249
H06,1,540,0.252
H06,1,555,0.253
H06,1,570,0.26
H06,1,585,0.265
H06,1,600,0.268
H06,1,615,0.268
H06,1,630,0.269
H06,1,645,0.269
H06,1,660,0.269
H06,1,675,0.269
H06,1,690,0.269
H06,1,705,0.269
H06,1,720,0.268
H06,1,735,0.266
H06,1,750,0.265
H06,1,765,0.264
H06,1,780,0.263
H06,1,795,0.262
H06,1,810,0.26
H06,1,825,0.259
H06,1,840,0.258
H06,1,855,0.256
H06,1,870,0.254
H06,1,885,0.253
H06,1,900,0.251
H06,1,915,0.25
H06,1,930,0.248
H06,1,945,0.248
H06,1,960,0.246
H06,1,975,0.245
H06,1,990,0.244
H06,1,1005,0.243
H06,1,1020,0.242
H06,1,1035,0.241
H06,1,1050,0.241
H06,1,1065,0.241
H06,1,1080,0.24
H06,1,1095,0.238
H06,1,1110,0.236
H06,1,1125,0.234
H06,1,1140,0.233
H06,1,1155,0.231
H02,2,15,0.012
H02,2,30,0.011
H02,2,45,0.011
H02,2,60,0.01
H02,2,75,0.01
H02,2,90,0.011
H02,2,105,0.012
H02,2,120,0.014
H02,2,135,0.018
H02,2,150,0.024
H02,2,165,0.03
H02,2,180,0.039
H02,2,195,0.052
H02,2,210,0.064
H02,2,225,0.074
H02,2,240,0.098
H02,2,255,0.124
H02,2,270,0.141
H02,2,285,0.171
H02,2,300,0.174
H02,2,315,0.192
H02,2,330,0.208
H02,2,345,0.224
H02,2,360,0.234
H02,2,375,0.247
H02,2,390,0.253
H02,2,405,0.26
H02,2,420,0.263
H02,2,435,0.263
H02,2,450,0.263
H02,2,465,0.261
H02,2,480,0.264
H02,2,495,0.262
H02,2,510,0.256
H02,2,525,0.254
H02,2,540,0.255
H02,2,555,0.25
H02,2,570,0.249
H02,2,585,0.25
H02,2,600,0.247
H02,2,615,0.246
H02,2,630,0.245
H02,2,645,0.245
H02,2,660,0.244
H02,2,675,0.243
H02,2,690,0.242
H02,2,705,0.242
H02,2,720,0.242
H02,2,735,0.242
H02,2,750,0.239
H02,2,765,0.24
H02,2,780,0.244
H02,2,795,0.238
H02,2,810,0.238
H02,2,825,0.235
H02,2,840,0.235
H02,2,855,0.236
H02,2,870,0.239
H02,2,885,0.238
H02,2,900,0.239
H02,2,915,0.235
H02,2,930,0.234
H02,2,945,0.234
H02,2,960,0.235
H02,2,975,0.235
H02,2,990,0.232
H02,2,1005,0.24
H02,2,1020,0.231
H02,2,1035,0.231
H02,2,1050,0.233
H02,2,1065,0.236
H02,2,1080,0.233
H02,2,1095,0.237
H02,2,1110,0.235
H02,2,1125,0.231
H02,2,1140,0.23
H02,2,1155,0.231
H05,2,15,0.001
H05,2,30,0.001
H05,2,45,0.001
H05,2,60,0.001
H05,2,75,0.001
H05,2,90,0.001
H05,2,105,0.003
H05,2,120,0.006
H05,2,135,0.011
H05,2,150,0.017
H05,2,165,0.025
H05,2,180,0.035
H05,2,195,0.05
H05,2,210,0.063
H05,2,225,0.078
H05,2,240,0.099
H05,2,255,0.12
H05,2,270,0.139
H05,2,285,0.175
H05,2,300,0.186
H05,2,315,0.202
H05,2,330,0.217
H05,2,345,0.228
H05,2,360,0.245
H05,2,375,0.253
H05,2,390,0.267
H05,2,405,0.283
H05,2,420,0.289
H05,2,435,0.294
H05,2,450,0.305
H05,2,465,0.312
H05,2,480,0.313
H05,2,495,0.319
H05,2,510,0.326
H05,2,525,0.337
H05,2,540,0.326
H05,2,555,0.334
H05,2,570,0.322
H05,2,585,0.317
H05,2,600,0.312
H05,2,615,0.308
H05,2,630,0.304
H05,2,645,0.301
H05,2,660,0.298
H05,2,675,0.296
H05,2,690,0.294
H05,2,705,0.292
H05,2,720,0.291
H05,2,735,0.289
H05,2,750,0.287
H05,2,765,0.286
H05,2,780,0.285
H05,2,795,0.284
H05,2,810,0.283
H05,2,825,0.283
H05,2,840,0.282
H05,2,855,0.282
H05,2,870,0.28
H05,2,885,0.279
H05,2,900,0.277
H05,2,915,0.278
H05,2,930,0.276
H05,2,945,0.275
H05,2,960,0.274
H05,2,975,0.272
H05,2,990,0.271
H05,2,1005,0.27
H05,2,1020,0.269
H05,2,1035,0.269
H05,2,1050,0.269
H05,2,1065,0.268
H05,2,1080,0.27
H05,2,1095,0.267
H05,2,1110,0.265
H05,2,1125,0.265
H05,2,1140,0.263
H05,2,1155,0.262
H06,2,15,0.001
H06,2,30,0.001
H06,2,45,0.001
H06,2,60,0.001
H06,2,75,0.001
H06,2,90,0.002
H06,2,105,0.004
H06,2,120,0.006
H06,2,135,0.009
H06,2,150,0.014
H06,2,165,0.02
H06,2,180,0.027
H06,2,195,0.032
H06,2,210,0.039
H06,2,225,0.046
H06,2,240,0.056
H06,2,255,0.068
H06,2,270,0.081
H06,2,285,0.095
H06,2,300,0.123
H06,2,315,0.139
H06,2,330,0.158
H06,2,345,0.184
H06,2,360,0.2
H06,2,375,0.215
H06,2,390,0.225
H06,2,405,0.236
H06,2,420,0.243
H06,2,435,0.252
H06,2,450,0.257
H06,2,465,0.262
H06,2,480,0.266
H06,2,495,0.269
H06,2,510,0.27
H06,2,525,0.272
H06,2,540,0.273
H06,2,555,0.273
H06,2,570,0.276
H06,2,585,0.277
H06,2,600,0.285
H06,2,615,0.289
H06,2,630,0.291
H06,2,645,0.291
H06,2,660,0.292
H06,2,675,0.291
H06,2,690,0.293
H06,2,705,0.291
H06,2,720,0.291
H06,2,735,0.294
H06,2,750,0.291
H06,2,765,0.291
H06,2,780,0.29
H06,2,795,0.29
H06,2,810,0.291
H06,2,825,0.29
H06,2,840,0.289
H06,2,855,0.289
H06,2,870,0.289
H06,2,885,0.288
H06,2,900,0.288
H06,2,915,0.289
H06,2,930,0.288
H06,2,945,0.286
H06,2,960,0.286
H06,2,975,0.285
H06,2,990,0.283
H06,2,1005,0.283
H06,2,1020,0.282
H06,2,1035,0.281
H06,2,1050,0.281
H06,2,1065,0.281
H06,2,1080,0.281
H06,2,1095,0.281
H06,2,1110,0.28
H06,2,1125,0.279
H06,2,1140,0.279
H06,2,1155,0.277
H03,2,15,0.001
H03,2,30,0.001
H03,2,45,0.001
H03,2,60,0.001
H03,2,75,0.003
H03,2,90,0.008
H03,2,105,0.012
H03,2,120,0.017
H03,2,135,0.022
H03,2,150,0.028
H03,2,165,0.035
H03,2,180,0.043
H03,2,195,0.052
H03,2,210,0.062
H03,2,225,0.07
H03,2,240,0.075
H03,2,255,0.079
H03,2,270,0.083
H03,2,285,0.09
H03,2,300,0.096
H03,2,315,0.104
H03,2,330,0.114
H03,2,345,0.125
H03,2,360,0.14
H03,2,375,0.148
H03,2,390,0.16
H03,2,405,0.172
H03,2,420,0.181
H03,2,435,0.178
H03,2,450,0.181
H03,2,465,0.195
H03,2,480,0.195
H03,2,495,0.205
H03,2,510,0.208
H03,2,525,0.214
H03,2,540,0.218
H03,2,555,0.225
H03,2,570,0.23
H03,2,585,0.233
H03,2,600,0.244
H03,2,615,0.251
H03,2,630,0.254
H03,2,645,0.257
H03,2,660,0.258
H03,2,675,0.26
H03,2,690,0.26
H03,2,705,0.261
H03,2,720,0.262
H03,2,735,0.263
H03,2,750,0.263
H03,2,765,0.263
H03,2,780,0.264
H03,2,795,0.264
H03,2,810,0.265
H03,2,825,0.266
H03,2,840,0.267
H03,2,855,0.267
H03,2,870,0.269
H03,2,885,0.268
H03,2,900,0.268
H03,2,915,0.268
H03,2,930,0.269
H03,2,945,0.269
H03,2,960,0.269
H03,2,975,0.269
H03,2,990,0.269
H03,2,1005,0.27
H03,2,1020,0.27
H03,2,1035,0.27
H03,2,1050,0.271
H03,2,1065,0.272
H03,2,1080,0.273
H03,2,1095,0.274
H03,2,1110,0.274
H03,2,1125,0.274
H03,2,1140,0.274
H03,2,1155,0.275
H08,1,15,0.008
H08,1,30,0.01
H08,1,45,0.012
H08,1,60,0.013
H08,1,75,0.016
H08,1,90,0.023
H08,1,105,0.03
H08,1,120,0.037
H08,1,135,0.048
H08,1,150,0.063
H08,1,165,0.081
H08,1,180,0.089
H08,1,195,0.104
H08,1,210,0.119
H08,1,225,0.155
H08,1,240,0.161
H08,1,255,0.172
H08,1,270,0.187
H08,1,285,0.207
H08,1,300,0.224
H08,1,315,0.248
H08,1,330,0.353
H08,1,345,0.271
H08,1,360,0.281
H08,1,375,0.339
H08,1,390,0.288
H08,1,405,0.31
H08,1,420,0.319
H08,1,435,0.316
H08,1,450,0.351
H08,1,465,0.335
H08,1,480,0.342
H08,1,495,0.35
H08,1,510,0.363
H08,1,525,0.393
H08,1,540,0.418
H08,1,555,0.366
H08,1,570,0.478
H08,1,585,0.394
H08,1,600,0.362
H08,1,615,0.504
H08,1,630,0.353
H08,1,645,0.453
H08,1,660,0.36
H08,1,675,0.347
H08,1,690,0.357
H08,1,705,0.359
H08,1,720,0.343
H08,1,735,0.342
H08,1,750,0.342
H08,1,765,0.337
H08,1,780,0.34
H08,1,795,0.347
H08,1,810,0.34
H08,1,825,0.336
H08,1,840,0.332
H08,1,855,0.38
H08,1,870,0.331
H08,1,885,0.328
H08,1,900,0.345
H08,1,915,0.33
H08,1,930,0.326
H08,1,945,0.324
H08,1,960,0.325
H08,1,975,0.322
H08,1,990,0.365
H08,1,1005,0.32
H08,1,1020,0.319
H08,1,1035,0.323
H08,1,1050,0.318
H08,1,1065,0.318
H08,1,1080,0.318
H08,1,1095,0.317
H08,1,1110,0.317
H08,1,1125,0.315
H08,1,1140,0.316
H08,1,1155,0.317
H03,3,15,0.002
H03,3,30,0.001
H03,3,45,0.001
H03,3,60,0.001
H03,3,75,0.001
H03,3,90,0.002
H03,3,105,0.003
H03,3,120,0.004
H03,3,135,0.005
H03,3,150,0.008
H03,3,165,0.011
H03,3,180,0.015
H03,3,195,0.022
H03,3,210,0.03
H03,3,225,0.036
H03,3,240,0.043
H03,3,255,0.048
H03,3,270,0.052
H03,3,285,0.058
H03,3,300,0.061
H03,3,315,0.073
H03,3,330,0.08
H03,3,345,0.085
H03,3,360,0.096
H03,3,375,0.104
H03,3,390,0.113
H03,3,405,0.125
H03,3,420,0.129
H03,3,435,0.136
H03,3,450,0.142
H03,3,465,0.145
H03,3,480,0.145
H03,3,495,0.157
H03,3,510,0.157
H03,3,525,0.166
H03,3,540,0.17
H03,3,555,0.18
H03,3,570,0.187
H03,3,585,0.191
H03,3,600,0.195
H03,3,615,0.2
H03,3,630,0.204
H03,3,645,0.209
H03,3,660,0.215
H03,3,675,0.22
H03,3,690,0.225
H03,3,705,0.227
H03,3,720,0.23
H03,3,735,0.231
H03,3,750,0.232
H03,3,765,0.233
H03,3,780,0.234
H03,3,795,0.235
H03,3,810,0.235
H03,3,825,0.236
H03,3,840,0.237
H03,3,855,0.238
H03,3,870,0.239
H03,3,885,0.239
H03,3,900,0.239
H03,3,915,0.24
H03,3,930,0.241
H03,3,945,0.241
H03,3,960,0.241
H03,3,975,0.241
H03,3,990,0.242
H03,3,1005,0.242
H03,3,1020,0.243
H03,3,1035,0.243
H03,3,1050,0.243
H03,3,1065,0.243
H03,3,1080,0.243
H03,3,1095,0.244
H03,3,1110,0.244
H03,3,1125,0.244
H03,3,1140,0.245
H03,3,1155,0.245
PA14,2,15,0.001
PA14,2,30,0.001
PA14,2,45,0.001
PA14,2,60,0.001
PA14,2,75,0.001
PA14,2,90,0.002
PA14,2,105,0.004
PA14,2,120,0.008
PA14,2,135,0.011
PA14,2,150,0.017
PA14,2,165,0.024
PA14,2,180,0.032
PA14,2,195,0.042
PA14,2,210,0.053
PA14,2,225,0.066
