strain,replicate,time,drug,microcol,mic
H02,2,48h,AMI,y,6
H02,3,48h,AMI,n,8
H02,3,48h,AMI,y,8
H02,1,48h,CTZ,n,2
H02,1,48h,CTZ,y,3
H02,2,48h,CTZ,n,3
H02,2,48h,CTZ,y,4
H02,3,48h,CTZ,n,2
H02,3,48h,CTZ,y,3
H02,1,48h,CTT,n,0.5
H02,1,48h,CTT,y,0.5
H02,2,48h,CTT,n,0.5
H02,2,48h,CTT,y,0.75
H02,3,48h,CTT,n,0.5
H02,3,48h,CTT,y,0.75
H03,1,24h,CIP,n,32
H03,1,24h,CIP,y,32
H03,2,24h,CIP,n,32
H03,2,24h,CIP,y,32
H03,3,24h,CIP,n,32
H03,3,24h,CIP,y,32
H03,1,24h,GEN,n,64
H03,1,24h,GEN,y,64
H03,2,24h,GEN,n,32
H03,2,24h,GEN,y,256
H03,3,24h,GEN,n,64
H03,3,24h,GEN,y,256
H03,1,24h,TOB,n,64
H03,1,24h,TOB,y,64
H03,2,24h,TOB,n,48
H03,2,24h,TOB,y,96
H03,3,24h,TOB,n,64
H03,3,24h,TOB,y,64
H03,1,24h,MER,n,0.094
H03,1,24h,MER,y,0.094
H03,2,24h,MER,n,0.125
H03,2,24h,MER,y,0.125
H03,3,24h,MER,n,0.19
H03,3,24h,MER,y,0.5
H03,1,24h,PIT,n,12
H03,1,24h,PIT,y,12
H03,2,24h,PIT,n,12
H03,2,24h,PIT,y,12
H03,3,24h,PIT,n,12
H03,3,24h,PIT,y,12
H03,1,24h,COL,n,2
H03,1,24h,COL,y,2
H03,2,24h,COL,n,2
H03,2,24h,COL,y,2
H03,3,24h,COL,n,2
H03,3,24h,COL,y,2
H03,1,24h,AMI,n,24
H03,1,24h,AMI,y,64
H03,2,24h,AMI,n,24
H03,2,24h,AMI,y,48
H03,3,24h,AMI,n,32
H03,3,24h,AMI,y,48
H03,1,24h,CTZ,n,6
H03,1,24h,CTZ,y,8
H03,2,24h,CTZ,n,3
H03,2,24h,CTZ,y,3
H03,3,24h,CTZ,n,12
H03,3,24h,CTZ,y,12
H03,1,24h,CTT,n,0.38
H03,1,24h,CTT,y,0.38
H03,2,24h,CTT,n,0.25
H03,2,24h,CTT,y,0.25
H03,3,24h,CTT,n,0.5
H03,3,24h,CTT,y,0.5
H03,1,48h,CIP,n,32
H03,1,48h,CIP,y,32
H03,2,48h,CIP,n,32
H03,2,48h,CIP,y,32
H03,3,48h,CIP,n,32
H03,3,48h,CIP,y,32
H03,1,48h,GEN,n,32
H03,1,48h,GEN,y,256
H03,2,48h,GEN,n,64
H03,2,48h,GEN,y,64
H03,3,48h,GEN,n,64
H03,3,48h,GEN,y,256
H03,1,48h,TOB,n,32
H03,1,48h,TOB,y,96
H03,2,48h,TOB,n,64
H03,2,48h,TOB,y,64
H03,3,48h,TOB,n,64
H03,3,48h,TOB,y,64
H03,1,48h,MER,n,0.094
H03,1,48h,MER,y,0.19
H03,2,48h,MER,n,0.125
H03,2,48h,MER,y,0.19
H03,3,48h,MER,n,0.19
H03,3,48h,MER,y,0.5
H03,1,48h,PIT,n,12
H03,1,48h,PIT,y,24
H03,2,48h,PIT,n,12
H03,2,48h,PIT,y,24
H03,3,48h,PIT,n,12
H03,3,48h,PIT,y,12
H03,1,48h,COL,n,2
H03,1,48h,COL,y,2
H03,2,48h,COL,n,2
H03,2,48h,COL,y,2
H03,3,48h,COL,n,2
H03,3,48h,COL,y,2
H03,1,48h,AMI,n,24
H03,1,48h,AMI,y,64
H03,2,48h,AMI,n,24
H03,2,48h,AMI,y,48
H03,3,48h,AMI,n,32
H03,3,48h,AMI,y,48
H03,1,48h,CTZ,n,6
H03,1,48h,CTZ,y,8
H03,2,48h,CTZ,n,3
H03,2,48h,CTZ,y,3
H03,3,48h,CTZ,n,12
H03,3,48h,CTZ,y,16
H03,1,48h,CTT,n,0.38
H03,1,48h,CTT,y,0.38
H03,2,48h,CTT,n,0.25
H03,2,48h,CTT,y,0.38
H03,3,48h,CTT,n,0.5
H03,3,48h,CTT,y,1
H04,1,24h,CIP,n,0.032
H04,1,24h,CIP,y,0.064
H04,2,24h,CIP,n,0.047
H04,2,24h,CIP,y,0.125
H04,3,24h,CIP,n,0.064
H04,3,24h,CIP,y,0.125
H04,1,24h,GEN,n,1
H04,1,24h,GEN,y,1
H04,2,24h,GEN,n,1
H04,2,24h,GEN,y,1
H04,3,24h,GEN,n,1
H04,3,24h,GEN,y,1
H04,1,24h,TOB,n,0.75
H04,1,24h,TOB,y,0.75
H04,2,24h,TOB,n,1
H04,2,24h,TOB,y,1
H04,3,24h,TOB,n,0.75
H04,3,24h,TOB,y,0.75
H04,1,24h,MER,n,0.023
H04,1,24h,MER,y,0.023
H04,2,24h,MER,n,0.023
H04,2,24h,MER,y,0.023
H04,3,24h,MER,n,0.023
H04,3,24h,MER,y,0.023
H04,1,24h,PIT,n,1.5
H04,1,24h,PIT,y,1.5
H04,2,24h,PIT,n,2
H04,2,24h,PIT,y,2
H04,3,24h,PIT,n,2
H04,3,24h,PIT,y,2
H04,1,24h,COL,n,3
H04,1,24h,COL,y,3
H04,2,24h,COL,n,3
H04,2,24h,COL,y,3
H04,3,24h,COL,n,3
H04,3,24h,COL,y,3
H04,1,24h,AMI,n,6
H04,1,24h,AMI,y,6
H04,2,24h,AMI,n,8
H04,2,24h,AMI,y,8
H04,3,24h,AMI,n,8
H04,3,24h,AMI,y,24
H04,1,24h,CTZ,n,1.5
H04,1,24h,CTZ,y,2
H04,2,24h,CTZ,n,1
H04,2,24h,CTZ,y,2
H04,3,24h,CTZ,n,1.5
H04,3,24h,CTZ,y,2
H04,1,24h,CTT,n,0.5
H04,1,24h,CTT,y,0.75
H04,2,24h,CTT,n,0.5
H04,2,24h,CTT,y,0.5
H04,3,24h,CTT,n,0.38
H04,3,24h,CTT,y,0.38
H04,1,48h,CIP,n,0.032
H04,1,48h,CIP,y,0.064
H04,2,48h,CIP,n,0.047
H04,2,48h,CIP,y,0.125
H04,3,48h,CIP,n,0.064
H04,3,48h,CIP,y,0.064
H04,1,48h,GEN,n,1
H04,1,48h,GEN,y,1
H04,2,48h,GEN,n,1
H04,2,48h,GEN,y,1
H04,3,48h,GEN,n,1
H04,3,48h,GEN,y,1
H04,1,48h,TOB,n,0.75
H04,1,48h,TOB,y,0.75
H04,2,48h,TOB,n,1
H04,2,48h,TOB,y,1
H04,3,48h,TOB,n,0.75
H04,3,48h,TOB,y,0.75
H04,1,48h,MER,n,0.023
H04,1,48h,MER,y,0.023
H04,2,48h,MER,n,0.032
H04,2,48h,MER,y,0.032
H04,3,48h,MER,n,0.032
H04,3,48h,MER,y,0.032
H04,1,48h,PIT,n,2
H04,1,48h,PIT,y,2
H04,2,48h,PIT,n,2
H04,2,48h,PIT,y,2
H04,3,48h,PIT,n,2
H04,3,48h,PIT,y,2
H04,1,48h,COL,n,3
H04,1,48h,COL,y,3
H04,2,48h,COL,n,3
H04,2,48h,COL,y,3
H04,3,48h,COL,n,3
H04,3,48h,COL,y,3
H04,1,48h,AMI,n,6
H04,1,48h,AMI,y,6
H04,2,48h,AMI,n,8
H04,2,48h,AMI,y,8
H04,3,48h,AMI,n,8
H04,3,48h,AMI,y,24
H04,1,48h,CTZ,n,1.5
H04,1,48h,CTZ,y,2
H04,2,48h,CTZ,n,1
H04,2,48h,CTZ,y,2
H04,3,48h,CTZ,n,1.5
H04,3,48h,CTZ,y,2
H04,1,48h,CTT,n,0.5
H04,1,48h,CTT,y,0.75
H04,2,48h,CTT,n,0.5
H04,2,48h,CTT,y,0.5
H04,3,48h,CTT,n,0.38
H04,3,48h,CTT,y,0.5
H05,1,24h,CIP,n,0.125
H05,1,24h,CIP,y,0.125
H05,2,24h,CIP,n,0.094
H05,2,24h,CIP,y,0.094
H05,3,24h,CIP,n,0.125
H05,3,24h,CIP,y,0.125
H05,1,24h,GEN,n,2
H05,1,24h,GEN,y,2
H05,2,24h,GEN,n,1
H05,2,24h,GEN,y,1
H05,3,24h,GEN,n,1.5
H05,3,24h,GEN,y,1.5
H05,1,24h,TOB,n,1.5
H05,1,24h,TOB,y,1.5
H05,2,24h,TOB,n,1.5
H05,2,24h,TOB,y,1.5
H05,3,24h,TOB,n,2
H05,3,24h,TOB,y,2
H05,1,24h,MER,n,0.064
H05,1,24h,MER,y,0.094
H05,2,24h,MER,n,0.064
H05,2,24h,MER,y,0.094
H05,3,24h,MER,n,0.023
H05,3,24h,MER,y,0.047
H05,1,24h,PIT,n,8
H05,1,24h,PIT,y,8
H05,2,24h,PIT,n,3
H05,2,24h,PIT,y,3
H05,3,24h,PIT,n,8
H05,3,24h,PIT,y,8
H05,1,24h,COL,n,3
H05,1,24h,COL,y,4
H05,2,24h,COL,n,3
H05,2,24h,COL,y,6
H05,3,24h,COL,n,3
H05,3,24h,COL,y,8
H05,1,24h,AMI,n,6
H05,1,24h,AMI,y,6
H05,2,24h,AMI,n,8
H05,2,24h,AMI,y,8
H05,3,24h,AMI,n,6
H05,3,24h,AMI,y,12
H05,1,24h,CTZ,n,1.5
H05,1,24h,CTZ,y,1.5
H05,2,24h,CTZ,n,2
H05,2,24h,CTZ,y,3
H05,3,24h,CTZ,n,2
H05,3,24h,CTZ,y,2
H05,1,24h,CTT,n,0.25
H05,1,24h,CTT,y,0.38
H05,2,24h,CTT,n,0.38
H05,2,24h,CTT,y,0.38
H05,3,24h,CTT,n,0.38
H05,3,24h,CTT,y,0.5
H05,1,48h,CIP,n,0.125
H05,1,48h,CIP,y,0.125
H05,2,48h,CIP,n,0.094
H05,2,48h,CIP,y,0.094
H05,3,48h,CIP,n,0.125
H05,3,48h,CIP,y,0.19
H05,1,48h,GEN,n,2
H05,1,48h,GEN,y,2
H05,2,48h,GEN,n,1
H05,2,48h,GEN,y,1
H05,3,48h,GEN,n,1.5
